N,P,K,temprature,humidity,ph,rainfall,label
75,55,66,24.46,71,6.09,1371.46,Turmeric
75,56,71,25.76,83,6.24,1043.95,Turmeric
87,55,60,24.4,76,6.04,1081.92,Turmeric
82,59,64,24.54,76,6.17,725.07,Turmeric
68,44,46,25.46,70,6.39,1053.3,Turmeric
74,54,52,26.38,88,5.78,933.74,Turmeric
81,52,56,24.86,84,6.09,1115.16,Turmeric
71,51,61,24.47,79,6.25,905.64,Turmeric
85,48,72,25.21,80,5.68,988.56,Turmeric
91,52,54,25.04,80,5.66,1690.58,Turmeric
73,50,67,24.27,77,6.01,1031.94,Turmeric
76,67,45,24.54,75,5.91,529.46,Turmeric
75,52,51,25.82,83,5.57,324.88,Turmeric
89,55,46,26.37,89,6.3,1405.94,Turmeric
81,54,65,25.46,87,5.98,539.63,Turmeric
80,65,56,25.09,76,5.72,1376.07,Turmeric
80,58,44,24.67,84,5.87,1175.38,Turmeric
97,58,53,25.32,77,5.58,1957.81,Turmeric
98,45,48,25.27,79,6.13,549.34,Turmeric
77,60,50,24.33,79,6.3,875.09,Turmeric
98,54,60,26.14,81,6.29,1751.12,Turmeric
94,62,63,25.07,78,5.63,1235.48,Turmeric
86,50,60,25.76,87,5.76,1208.3,Turmeric
92,58,68,26.47,77,5.62,1232.12,Turmeric
76,60,69,24.22,79,5.96,1309.14,Turmeric
75,46,69,25.2,76,6.02,450.84,Turmeric
85,54,59,25.38,85,5.71,1771.87,Turmeric
86,56,47,24.79,76,6.02,798.86,Turmeric
89,53,56,25.27,75,6.17,913.07,Turmeric
66,58,58,24.24,82,5.97,473.69,Turmeric
75,52,48,25.28,76,5.94,765.98,Turmeric
96,62,57,25.21,71,5.83,1612.78,Turmeric
78,59,59,24.52,78,5.79,2035.8,Turmeric
95,68,52,24.75,76,5.72,1474.52,Turmeric
84,57,60,25.47,81,6.11,1418.99,Turmeric
82,44,58,25.53,75,5.9,575.98,Turmeric
67,43,60,25.7,71,6.15,1110.5,Turmeric
67,63,54,24.5,85,5.86,817.08,Turmeric
68,41,51,25.74,72,5.83,1122.71,Turmeric
78,56,64,25.3,77,6.01,1321.25,Turmeric
80,61,42,25.06,76,5.61,277.68,Turmeric
79,69,54,24.68,78,5.64,1561.59,Turmeric
96,42,67,24.35,75,6.13,970.46,Turmeric
77,60,69,26.44,86,5.93,849.11,Turmeric
83,53,53,25.81,86,5.98,584.16,Turmeric
78,60,54,25.7,82,5.9,1512.54,Turmeric
73,65,48,24.92,86,6.13,1271.51,Turmeric
92,55,62,26.02,83,6.12,275.9,Turmeric
71,45,50,24.75,79,6.03,959.35,Turmeric
72,42,64,26.13,72,6.13,1559.36,Turmeric
79,58,51,24.1,77,5.82,442.41,Turmeric
80,50,55,25.32,74,5.71,553.45,Turmeric
90,44,64,25.14,75,5.85,845.18,Turmeric
91,48,67,24.86,85,6.15,1532.83,Turmeric
72,62,54,25.59,85,6.14,974.7,Turmeric
81,54,62,24.32,86,5.98,1494.62,Turmeric
80,52,63,25.82,85,6.3,591.07,Turmeric
89,52,57,25.3,85,5.89,1685.91,Turmeric
87,49,73,25.5,83,5.99,596.45,Turmeric
85,43,59,24.98,82,6.27,226.94,Turmeric
75,56,49,25.83,80,6.03,1585.26,Turmeric
78,51,66,25.8,79,5.7,832.44,Turmeric
83,62,52,25.75,75,6.11,934.52,Turmeric
72,45,53,25.8,81,6.16,1029.39,Turmeric
89,64,55,25.29,78,6.11,948.22,Turmeric
83,45,59,24.92,77,6.11,677.57,Turmeric
72,46,59,26.22,74,5.83,318.23,Turmeric
67,65,54,25.66,87,5.76,1566.28,Turmeric
80,63,60,24.83,82,5.6,847.78,Turmeric
85,63,46,24.01,85,6.29,788.5,Turmeric
97,62,48,26.22,75,6.36,1434.23,Turmeric
84,59,50,25.74,79,6.38,1081.58,Turmeric
70,65,58,25.03,74,6.12,807.91,Turmeric
69,51,45,26.28,75,6.33,1777.4,Turmeric
79,59,49,26.32,81,6.14,1882.35,Turmeric
80,53,58,24.74,82,6.1,657.27,Turmeric
63,51,71,24.9,70,5.72,1482.09,Turmeric
60,57,58,24.53,89,6.35,1184.68,Turmeric
81,47,43,26.28,77,5.63,814.73,Turmeric
92,42,60,25.36,84,6.09,809.4,Turmeric
81,60,58,24.77,73,6.21,1471.85,Turmeric
88,41,68,25.5,76,6.32,609.06,Turmeric
78,45,55,24.61,84,5.87,799.21,Turmeric
64,54,57,24.65,82,6.13,1559.08,Turmeric
92,45,64,26.38,76,6.05,679.91,Turmeric
84,45,49,25.1,73,5.86,2092.51,Turmeric
93,63,43,25.43,75,6.03,1762.53,Turmeric
70,46,73,25.0,81,5.53,1513.73,Turmeric
94,45,50,25.76,80,6.02,389.05,Turmeric
81,53,56,25.66,73,6.2,369.66,Turmeric
96,65,52,25.1,84,6.06,1461.08,Turmeric
68,57,60,25.95,79,5.92,680.54,Turmeric
73,62,70,26.4,87,5.96,1028.98,Turmeric
78,50,59,25.11,83,6.29,1059.46,Turmeric
65,57,53,24.34,77,5.55,1101.76,Turmeric
77,61,69,24.66,75,6.35,1133.89,Turmeric
94,57,71,24.9,73,5.66,424.33,Turmeric
84,68,60,25.32,88,6.05,1933.46,Turmeric
95,47,60,25.76,86,5.76,1088.23,Turmeric
76,54,42,24.63,78,5.83,700.11,Turmeric
88,50,63,24.34,84,6.25,754.36,Turmeric
60,48,65,25.08,79,5.88,1521.59,Turmeric
75,59,62,24.95,80,6.14,1018.03,Turmeric
78,62,65,25.18,82,5.79,590.02,Turmeric
75,45,42,25.4,85,5.73,1876.88,Turmeric
76,43,46,25.02,79,5.71,907.19,Turmeric
72,40,68,25.44,83,5.86,1262.31,Turmeric
81,57,49,24.83,84,5.91,1314.94,Turmeric
70,50,60,26.04,86,5.52,1693.73,Turmeric
93,65,64,24.07,81,5.9,1031.44,Turmeric
68,66,58,25.68,78,6.05,1162.22,Turmeric
80,57,63,24.75,73,5.53,530.49,Turmeric
62,60,42,25.69,72,5.66,329.78,Turmeric
97,52,55,24.3,87,6.04,2135.32,Turmeric
86,44,64,25.86,71,5.69,1314.49,Turmeric
87,47,49,25.14,74,6.19,1626.67,Turmeric
77,63,58,26.11,77,5.81,847.63,Turmeric
84,42,40,25.14,75,6.31,350.66,Turmeric
74,65,57,24.39,77,6.01,1245.32,Turmeric
77,50,59,26.4,75,5.84,1081.95,Turmeric
83,53,56,24.93,78,5.87,920.5,Turmeric
80,66,69,24.68,82,5.68,1879.24,Turmeric
71,63,40,25.27,78,5.86,1040.04,Turmeric
76,48,60,25.4,80,5.98,809.84,Turmeric
78,42,74,26.04,79,5.93,1255.02,Turmeric
72,52,60,26.65,74,5.89,1689.71,Turmeric
84,51,64,25.08,82,5.98,1901.87,Turmeric
73,49,45,26.22,84,5.98,179.02,Turmeric
77,63,62,24.84,71,5.79,1168.57,Turmeric
97,45,67,25.07,86,5.66,519.53,Turmeric
85,54,58,24.46,81,6.16,1593.82,Turmeric
91,55,66,24.9,83,5.74,539.95,Turmeric
61,58,53,25.03,78,6.28,911.12,Turmeric
78,48,54,25.12,85,6.13,2029.55,Turmeric
76,64,55,25.57,73,6.09,1103.85,Turmeric
97,51,43,26.54,73,5.87,1558.9,Turmeric
82,45,47,26.63,75,5.86,349.4,Turmeric
74,60,52,24.77,76,6.14,1880.27,Turmeric
78,65,66,25.12,75,5.71,1451.98,Turmeric
82,45,59,24.4,71,5.93,1792.92,Turmeric
95,61,63,24.95,77,5.99,1005.32,Turmeric
84,57,54,24.98,86,5.72,1121.91,Turmeric
80,46,50,25.86,77,5.99,1605.44,Turmeric
69,46,54,25.68,85,6.01,1249.37,Turmeric
85,52,71,24.74,77,6.24,708.63,Turmeric
84,49,59,26.61,86,6.07,1655.32,Turmeric
82,54,61,25.24,83,5.62,914.49,Turmeric
75,53,53,24.08,83,5.88,1086.42,Turmeric
63,63,59,25.08,81,5.93,1013.95,Turmeric
78,64,60,26.53,78,6.16,1957.88,Turmeric
85,61,64,25.85,84,5.8,909.31,Turmeric
88,53,52,26.33,83,6.08,1813.71,Turmeric
70,55,64,24.86,87,6.16,491.14,Turmeric
85,48,63,25.34,80,5.92,931.89,Turmeric
95,56,54,26.18,80,6.08,776.42,Turmeric
81,54,55,25.55,83,6.06,553.96,Turmeric
62,45,63,26.41,78,5.94,1202.66,Turmeric
89,56,62,25.68,77,5.99,1739.25,Turmeric
90,60,61,25.57,84,5.77,1223.07,Turmeric
76,42,72,25.5,73,6.27,1368.13,Turmeric
65,51,59,24.17,83,6.07,289.97,Turmeric
82,57,53,24.31,87,5.91,1197.12,Turmeric
87,59,57,24.56,82,5.8,856.29,Turmeric
79,54,65,24.45,76,6.16,931.64,Turmeric
78,48,46,25.55,83,6.31,1094.03,Turmeric
65,46,46,24.38,74,6.09,405.83,Turmeric
82,58,61,26.19,79,5.53,1253.19,Turmeric
88,47,48,24.48,80,5.88,1643.91,Turmeric
83,50,51,24.81,80,5.9,1042.08,Turmeric
68,61,44,25.2,75,6.02,1287.06,Turmeric
70,61,66,25.99,73,6.15,1236.85,Turmeric
65,62,57,26.35,81,5.85,468.93,Turmeric
71,46,57,26.26,86,6.29,1018.75,Turmeric
92,43,58,25.75,78,6.16,1247.23,Turmeric
91,61,54,26.56,76,6.2,1140.55,Turmeric
72,67,66,25.11,76,6.03,969.19,Turmeric
91,63,60,24.56,83,5.92,1165.47,Turmeric
86,47,61,26.03,73,5.76,1362.75,Turmeric
65,44,53,25.56,71,5.69,1980.92,Turmeric
68,53,55,25.23,78,6.31,864.99,Turmeric
78,53,57,25.37,78,5.95,301.21,Turmeric
91,51,59,26.24,83,5.62,391.01,Turmeric
89,46,57,25.08,79,5.98,1313.75,Turmeric
89,63,57,26.0,81,5.94,467.82,Turmeric
93,59,60,25.6,85,6.07,1084.24,Turmeric
68,50,50,25.57,80,5.97,1246.48,Turmeric
79,54,43,25.09,77,5.86,1559.93,Turmeric
98,53,56,25.69,83,6.25,1783.86,Turmeric
89,56,46,26.45,81,5.83,1318.99,Turmeric
75,62,43,25.02,80,5.73,1927.08,Turmeric
77,57,68,25.65,72,5.95,609.62,Turmeric
69,62,50,24.88,77,5.74,754.57,Turmeric
67,51,60,24.99,85,5.89,1298.74,Turmeric
93,59,70,24.11,71,5.96,1325.34,Turmeric
95,56,68,25.25,76,5.65,1494.92,Turmeric
72,59,61,24.72,76,6.26,1157.74,Turmeric
62,46,40,25.36,80,6.19,488.45,Turmeric
82,58,58,26.24,86,6.09,714.5,Turmeric
74,48,52,25.28,87,5.97,1751.17,Turmeric
97,57,70,26.15,85,6.3,874.09,Turmeric
79,51,54,24.97,85,6.08,1032.15,Turmeric
82,61,50,25.56,77,5.99,1111.53,Turmeric
66,48,69,24.78,74,6.09,2001.11,Turmeric
74,56,62,24.73,83,6.12,727.47,Turmeric
87,59,52,25.8,81,5.89,413.81,Turmeric
62,63,55,24.84,88,5.94,1517.75,Turmeric
68,50,51,25.37,75,6.2,1828.57,Turmeric
67,59,65,25.05,80,6.03,1510.49,Turmeric
93,42,47,24.39,86,5.77,1209.56,Turmeric
93,54,58,25.38,73,6.39,1132.14,Turmeric
73,47,68,24.84,85,6.14,1328.29,Turmeric
70,45,52,25.16,79,6.04,1526.1,Turmeric
62,49,61,25.72,77,6.31,885.86,Turmeric
82,53,59,25.77,83,6.07,1486.81,Turmeric
82,59,69,25.7,78,6.34,304.05,Turmeric
85,66,60,25.58,80,5.61,1541.41,Turmeric
79,59,56,25.67,78,6.0,2126.3,Turmeric
66,51,62,25.71,83,5.86,767.45,Turmeric
70,63,62,24.9,72,6.16,1568.53,Turmeric
77,54,49,25.58,82,6.15,2014.64,Turmeric
84,56,46,25.34,73,5.94,971.69,Turmeric
87,46,40,24.9,76,6.14,503.9,Turmeric
81,58,70,24.87,82,6.03,1770.02,Turmeric
80,61,64,25.1,84,5.92,1305.32,Turmeric
85,43,57,26.52,75,5.88,1116.17,Turmeric
67,41,56,25.21,83,6.13,237.59,Turmeric
75,44,63,26.13,74,6.28,1378.44,Turmeric
83,57,49,24.7,78,5.81,1184.67,Turmeric
80,43,53,25.3,77,5.68,1478.45,Turmeric
89,41,71,24.94,74,6.02,1029.59,Turmeric
77,60,69,26.32,82,6.14,814.85,Turmeric
77,60,60,25.42,79,6.08,1589.72,Turmeric
93,48,63,25.78,77,5.78,944.58,Turmeric
95,56,57,25.44,85,6.05,523.12,Turmeric
93,62,66,25.55,72,6.3,1183.15,Turmeric
61,41,52,25.7,76,5.82,666.88,Turmeric
82,43,62,24.76,73,6.19,952.33,Turmeric
92,51,54,25.65,71,5.87,1464.55,Turmeric
86,63,60,25.25,85,6.21,1324.05,Turmeric
70,41,52,25.59,87,5.63,1432.94,Turmeric
88,55,65,25.39,76,5.79,998.06,Turmeric
68,54,61,25.02,74,6.04,2066.35,Turmeric
82,40,41,24.15,83,5.79,276.21,Turmeric
64,56,61,26.6,72,5.87,1675.9,Turmeric
76,57,58,25.2,83,6.17,1189.97,Turmeric
61,50,47,25.43,82,5.87,617.54,Turmeric
74,53,59,24.89,75,5.76,1215.61,Turmeric
70,54,65,26.16,80,5.96,1612.52,Turmeric
97,54,48,24.36,83,5.73,1081.54,Turmeric
84,55,68,24.25,85,5.72,1204.91,Turmeric
86,55,53,24.15,73,6.3,1001.92,Turmeric
97,55,51,26.39,78,6.21,699.2,Turmeric
72,52,47,25.81,74,6.22,856.73,Turmeric
90,68,58,24.44,83,6.09,1053.19,Turmeric
89,53,43,24.27,79,5.65,909.62,Turmeric
60,55,64,24.15,71,6.27,1680.21,Turmeric
86,57,55,24.42,81,5.99,665.12,Turmeric
90,53,62,25.49,86,5.76,554.51,Turmeric
65,53,59,25.48,71,6.16,1974.48,Turmeric
87,45,42,24.93,72,6.09,1215.14,Turmeric
80,51,59,25.35,76,5.64,1777.32,Turmeric
95,52,50,25.4,75,5.58,853.47,Turmeric
94,54,53,25.92,82,5.52,1846.8,Turmeric
81,55,70,26.18,75,6.21,614.54,Turmeric
86,47,70,25.32,74,6.09,1581.64,Turmeric
77,67,53,25.57,76,5.54,617.11,Turmeric
71,53,69,25.11,77,5.85,1280.3,Turmeric
78,49,50,25.9,77,5.62,1808.94,Turmeric
98,44,64,25.99,85,5.96,1646.89,Turmeric
67,60,64,24.48,77,6.18,1046.75,Turmeric
63,55,60,25.05,70,6.02,1668.89,Turmeric
87,63,51,26.08,84,5.78,1166.64,Turmeric
65,52,73,25.09,85,6.08,1213.01,Turmeric
67,46,46,25.46,79,5.87,835.62,Turmeric
92,51,73,26.44,75,5.81,1096.13,Turmeric
73,44,71,25.83,77,5.62,1230.73,Turmeric
88,51,64,24.82,80,5.8,594.44,Turmeric
63,54,47,26.31,75,5.8,1317.07,Turmeric
80,58,62,25.31,88,5.97,1153.42,Turmeric
79,52,61,24.76,85,5.96,1023.06,Turmeric
75,48,69,25.86,80,5.98,371.31,Turmeric
90,51,64,24.17,74,6.25,632.95,Turmeric
79,51,61,25.83,72,6.0,1129.74,Turmeric
88,49,63,25.86,74,5.86,697.33,Turmeric
90,61,64,24.9,78,5.89,439.92,Turmeric
75,55,52,24.31,85,6.02,1547.14,Turmeric
98,56,59,24.38,75,5.96,1104.04,Turmeric
71,68,50,26.14,77,5.99,1285.39,Turmeric
82,43,57,26.01,76,6.17,1428.12,Turmeric
77,49,63,25.63,79,6.06,1350.86,Turmeric
75,54,57,25.25,77,6.2,1472.08,Turmeric
79,65,56,24.6,72,5.75,1408.72,Turmeric
93,54,71,25.48,86,6.0,668.85,Turmeric
66,57,62,25.85,75,6.09,1042.94,Turmeric
71,65,60,24.58,86,5.86,1028.93,Turmeric
73,63,56,25.66,82,6.02,1724.97,Turmeric
79,51,63,26.01,81,5.81,1462.96,Turmeric
83,55,41,25.48,80,6.0,1893.8,Turmeric
91,58,65,25.06,71,6.1,1745.25,Turmeric
90,51,41,24.74,85,5.81,1450.85,Turmeric
71,59,51,25.13,80,6.38,432.77,Turmeric
73,60,61,25.46,71,5.81,1337.53,Turmeric
98,64,51,25.22,79,5.58,1928.41,Turmeric
98,61,56,25.84,79,5.7,1678.12,Turmeric
98,66,55,25.26,86,5.98,1037.01,Turmeric
70,66,62,25.61,72,5.84,1557.28,Turmeric
71,60,51,25.37,84,5.65,1621.17,Turmeric
75,59,63,25.06,84,5.5,479.17,Turmeric
79,49,56,25.98,79,6.24,1691.32,Turmeric
79,51,62,26.0,84,5.96,1653.57,Turmeric
88,47,69,24.67,79,6.3,1662.17,Turmeric
90,45,41,25.28,80,5.95,1177.33,Turmeric
86,59,47,26.42,74,5.77,1022.0,Turmeric
90,57,62,25.19,73,5.71,1165.16,Turmeric
97,57,50,24.3,89,6.1,966.54,Turmeric
77,49,62,26.02,83,6.3,1026.81,Turmeric
84,41,61,24.19,76,5.93,1429.72,Turmeric
69,54,67,24.49,73,5.53,738.01,Turmeric
89,54,55,24.19,78,6.13,473.44,Turmeric
84,49,53,25.18,76,6.23,1172.58,Turmeric
78,64,68,24.56,81,5.6,1701.77,Turmeric
79,54,60,25.97,79,6.0,1717.64,Turmeric
72,58,65,25.47,89,6.16,342.29,Turmeric
84,67,68,24.86,78,5.96,1336.48,Turmeric
79,46,63,25.1,87,5.62,1862.75,Turmeric
78,41,56,24.58,84,5.99,974.76,Turmeric
97,63,55,24.8,71,5.73,624.23,Turmeric
79,52,48,25.97,74,6.16,564.3,Turmeric
72,66,56,25.03,78,6.24,1824.87,Turmeric
81,60,55,25.85,73,6.15,1047.61,Turmeric
78,60,54,24.47,82,6.13,325.07,Turmeric
72,60,65,25.77,81,6.17,1094.62,Turmeric
69,53,49,24.4,87,5.85,1156.1,Turmeric
60,48,48,24.53,82,6.25,1055.69,Turmeric
79,55,45,26.61,80,5.56,1040.31,Turmeric
83,57,52,24.38,75,6.17,1064.21,Turmeric
77,57,60,26.1,86,5.81,1556.48,Turmeric
83,40,62,24.32,83,6.24,863.46,Turmeric
73,46,58,26.15,80,5.74,1892.33,Turmeric
85,49,55,24.43,75,5.8,1376.74,Turmeric
88,61,63,25.91,82,6.23,1083.06,Turmeric
92,58,52,25.26,82,6.05,1279.04,Turmeric
94,57,53,24.52,82,5.66,1252.4,Turmeric
75,60,50,25.43,82,6.18,1432.11,Turmeric
83,49,64,24.95,75,6.15,1849.12,Turmeric
69,60,66,24.66,81,5.98,1445.32,Turmeric
76,45,61,24.3,84,6.23,1073.54,Turmeric
74,52,49,24.09,87,5.59,1315.23,Turmeric
85,53,49,25.78,73,6.02,1060.73,Turmeric
72,52,65,25.66,80,5.62,1060.24,Turmeric
86,49,66,25.61,78,5.99,1427.94,Turmeric
64,59,68,26.3,83,6.11,1371.96,Turmeric
76,47,52,24.94,82,6.34,934.86,Turmeric
68,66,48,25.47,86,6.31,487.23,Turmeric
81,58,59,26.26,74,5.66,1186.21,Turmeric
77,48,55,26.17,80,5.89,840.99,Turmeric
68,50,44,26.48,82,5.85,1405.79,Turmeric
91,41,57,24.12,70,5.76,917.04,Turmeric
68,53,63,25.59,74,5.73,1839.32,Turmeric
92,55,54,25.83,80,6.1,1246.01,Turmeric
72,54,68,24.49,84,5.96,815.33,Turmeric
71,56,56,25.5,80,5.81,640.99,Turmeric
71,53,50,25.08,75,6.31,1592.68,Turmeric
92,42,60,25.24,77,5.88,990.87,Turmeric
65,45,48,25.26,81,5.9,641.09,Turmeric
75,50,59,26.19,79,6.09,1481.2,Turmeric
82,55,62,26.32,78,5.91,1141.83,Turmeric
65,56,54,26.37,80,5.83,504.72,Turmeric
75,44,59,25.44,84,6.1,1155.84,Turmeric
70,54,57,24.89,81,6.06,1619.42,Turmeric
79,55,59,24.52,78,6.24,1312.68,Turmeric
81,55,70,24.77,78,5.59,759.93,Turmeric
70,44,56,25.03,80,5.53,1202.86,Turmeric
61,54,43,26.18,87,5.99,859.81,Turmeric
91,48,51,24.12,82,5.71,1273.91,Turmeric
93,45,42,26.34,70,5.67,1686.82,Turmeric
74,45,53,25.9,81,6.18,1345.44,Turmeric
70,43,48,25.43,75,6.02,873.87,Turmeric
78,51,65,25.25,81,5.88,1617.35,Turmeric
82,64,67,25.46,75,6.09,654.87,Turmeric
82,46,58,25.24,84,6.08,950.63,Turmeric
75,63,52,25.22,72,6.18,153.7,Turmeric
76,45,47,25.07,79,5.86,945.19,Turmeric
77,47,60,24.6,85,5.95,1266.99,Turmeric
76,52,59,25.19,82,5.74,1884.55,Turmeric
76,67,57,24.98,76,6.15,791.23,Turmeric
93,43,64,26.18,79,5.7,965.25,Turmeric
87,52,48,24.46,78,5.9,1724.44,Turmeric
96,54,67,25.04,81,6.05,1384.18,Turmeric
80,57,43,26.4,84,5.82,1055.04,Turmeric
72,61,63,24.95,79,5.77,838.37,Turmeric
74,66,58,26.37,82,6.23,1238.8,Turmeric
83,53,41,26.13,88,5.67,1374.64,Turmeric
85,51,52,24.95,80,5.76,1882.28,Turmeric
67,57,62,24.65,87,5.54,1934.06,Turmeric
69,49,52,26.07,75,5.84,917.94,Turmeric
89,46,53,26.37,81,5.73,1045.91,Turmeric
74,51,69,24.01,71,6.33,277.39,Turmeric
72,59,60,25.05,83,6.0,1057.91,Turmeric
62,63,61,25.78,82,5.82,1333.07,Turmeric
75,60,51,25.03,78,6.08,1492.49,Turmeric
74,65,56,25.85,82,5.98,1348.26,Turmeric
94,51,53,25.84,80,5.52,1714.7,Turmeric
79,57,50,24.78,72,5.84,1736.84,Turmeric
90,52,57,26.08,73,6.04,1586.26,Turmeric
71,47,65,25.15,77,5.87,1336.98,Turmeric
83,47,51,25.99,81,5.88,1745.76,Turmeric
86,50,46,26.04,76,6.1,425.05,Turmeric
84,42,67,24.59,82,6.06,650.04,Turmeric
64,55,50,24.08,83,6.01,1128.05,Turmeric
64,55,48,24.77,80,5.91,1193.84,Turmeric
88,52,55,25.96,84,5.88,917.14,Turmeric
76,53,65,25.2,78,5.53,1977.28,Turmeric
90,48,54,25.48,83,5.53,1633.13,Turmeric
71,54,65,25.38,88,6.3,873.25,Turmeric
66,51,51,25.32,81,6.08,1343.05,Turmeric
94,43,53,26.46,74,6.14,985.15,Turmeric
85,59,65,25.87,76,5.97,1709.22,Turmeric
77,57,58,25.13,84,6.3,549.18,Turmeric
72,56,54,26.66,83,5.72,1541.67,Turmeric
68,56,69,25.45,86,6.26,2044.47,Turmeric
88,56,67,25.06,76,6.06,1728.13,Turmeric
75,57,51,25.86,89,6.14,1321.92,Turmeric
85,58,52,24.74,71,5.78,1050.94,Turmeric
84,64,59,25.87,82,5.96,1141.82,Turmeric
83,50,54,26.34,82,5.55,399.18,Turmeric
70,59,43,26.38,79,6.24,1168.39,Turmeric
75,59,46,26.11,81,5.91,673.0,Turmeric
80,46,65,24.29,85,5.94,539.3,Turmeric
99,43,67,25.79,75,6.0,1299.95,Turmeric
69,47,48,25.95,78,5.61,1529.62,Turmeric
92,58,51,24.95,72,5.95,707.76,Turmeric
94,58,66,25.23,85,5.55,1184.49,Turmeric
79,58,57,25.44,75,5.63,920.5,Turmeric
63,64,58,24.7,87,6.0,1234.87,Turmeric
98,52,48,24.89,81,5.95,2007.63,Turmeric
91,64,63,25.0,77,6.01,792.31,Turmeric
98,54,50,24.11,80,6.28,485.17,Turmeric
91,58,63,25.34,87,5.98,1517.95,Turmeric
79,56,55,25.32,74,5.83,235.8,Turmeric
79,54,47,24.7,77,5.86,1689.08,Turmeric
82,50,46,26.4,75,6.21,1193.08,Turmeric
72,53,60,25.26,78,6.11,365.3,Turmeric
95,57,63,25.37,88,5.76,568.22,Turmeric
78,49,55,25.16,84,5.69,1180.38,Turmeric
70,61,65,26.39,73,6.21,1214.95,Turmeric
87,50,58,24.28,78,5.7,1771.45,Turmeric
79,49,73,25.11,88,6.0,1693.77,Turmeric
74,67,57,24.82,82,6.23,199.85,Turmeric
88,62,57,26.61,79,5.55,1631.1,Turmeric
90,47,50,26.32,78,5.68,708.55,Turmeric
80,41,46,24.63,77,6.0,238.65,Turmeric
71,62,42,26.11,88,5.76,762.21,Turmeric
78,62,60,26.48,84,6.21,1945.66,Turmeric
88,59,57,24.9,79,6.07,1719.93,Turmeric
92,55,50,24.15,78,5.59,662.33,Turmeric
80,57,59,24.26,78,6.33,1180.19,Turmeric
97,56,61,25.61,84,5.9,1957.63,Turmeric
81,48,47,24.11,85,6.28,1285.58,Turmeric
80,51,61,25.72,76,5.65,1868.52,Turmeric
89,42,64,26.01,82,5.74,910.22,Turmeric
78,55,72,25.2,82,5.97,928.77,Turmeric
68,59,52,24.61,83,6.01,519.53,Turmeric
81,52,63,25.09,81,5.55,1653.58,Turmeric
60,47,48,25.21,72,6.17,741.69,Turmeric
70,52,56,24.97,77,6.22,543.45,Turmeric
77,62,67,26.49,89,6.29,1712.32,Turmeric
95,47,59,25.51,74,5.98,1697.57,Turmeric
88,59,49,25.04,82,6.14,717.35,Turmeric
82,54,59,25.22,74,5.82,1118.7,Turmeric
67,64,61,26.11,74,5.65,1455.4,Turmeric
92,52,71,25.4,88,6.32,720.49,Turmeric
70,65,74,25.51,84,5.94,1787.98,Turmeric
73,48,50,25.07,79,5.89,952.3,Turmeric
94,46,50,24.39,80,6.14,1215.04,Turmeric
66,64,68,24.71,76,5.68,1707.33,Turmeric
73,55,55,25.96,85,5.57,536.1,Turmeric
92,47,68,25.7,72,6.03,1317.89,Turmeric
83,62,62,26.2,86,5.87,1115.57,Turmeric
80,52,71,25.79,76,6.13,1193.89,Turmeric
75,61,58,26.21,79,5.82,1341.62,Turmeric
68,61,65,24.57,77,6.08,835.96,Turmeric
99,65,41,24.86,77,6.12,508.69,Turmeric
63,55,58,25.53,84,6.15,1677.13,Turmeric
84,59,61,25.62,82,5.87,1080.46,Turmeric
75,64,72,26.64,70,6.0,491.64,Turmeric
91,55,49,25.26,79,5.94,420.06,Turmeric
73,45,51,24.86,81,5.8,1392.32,Turmeric
89,57,71,24.58,81,5.62,1479.63,Turmeric
68,48,69,24.94,79,6.2,774.39,Turmeric
74,56,72,26.57,76,5.82,1291.18,Turmeric
74,48,56,25.56,77,6.18,1223.82,Turmeric
89,50,44,26.07,75,6.02,1269.94,Turmeric
80,52,48,24.55,80,6.01,1290.54,Turmeric
96,48,60,24.61,72,6.24,1274.38,Turmeric
91,54,54,26.09,77,5.69,1152.61,Turmeric
70,56,50,26.5,84,5.9,1051.57,Turmeric
76,46,49,25.0,75,5.97,835.81,Turmeric
75,47,60,26.23,86,5.83,965.08,Turmeric
87,50,59,25.86,80,6.19,1399.06,Turmeric
81,60,71,26.52,80,6.02,983.13,Turmeric
84,51,68,26.05,74,5.82,634.62,Turmeric
79,51,45,26.5,77,5.99,812.22,Turmeric
93,52,47,24.98,80,6.05,2090.72,Turmeric
82,47,70,25.31,81,5.66,1168.0,Turmeric
69,57,66,24.31,73,5.88,1705.31,Turmeric
80,47,67,24.49,82,6.2,488.72,Turmeric
69,68,53,26.11,74,5.56,1124.33,Turmeric
61,54,58,24.9,72,6.03,1373.41,Turmeric
76,51,43,25.62,82,6.34,593.38,Turmeric
75,65,60,25.4,77,5.82,1110.47,Turmeric
75,55,49,25.92,71,6.21,1344.6,Turmeric
69,51,65,24.11,88,5.91,1244.47,Turmeric
75,43,55,25.59,75,5.87,1903.86,Turmeric
84,54,65,25.19,78,6.06,1122.58,Turmeric
84,48,71,24.94,82,5.59,1314.93,Turmeric
61,68,52,26.32,74,5.92,1672.85,Turmeric
82,57,48,25.87,81,5.99,1372.51,Turmeric
88,52,54,24.46,84,6.19,1273.94,Turmeric
76,50,55,25.13,86,5.92,1565.79,Turmeric
82,52,53,24.53,79,5.83,1792.87,Turmeric
81,48,70,24.61,74,6.37,1891.32,Turmeric
80,44,60,25.12,83,5.64,579.2,Turmeric
87,63,59,25.22,88,6.19,1278.14,Turmeric
